City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Port Alfred,ZA,2022-11-23 03:41:00,-33.5906,26.891,67.82,80,3,6.51
139,Gonbad-E Qabus,IR,2022-11-23 03:41:00,37.25,55.1672,65.35,27,100,5.97
140,Pacific Grove,US,2022-11-23 03:41:01,36.6177,-121.9166,57.54,74,0,5.01
141,Faanui,PF,2022-11-23 03:41:01,-16.4833,-151.75,81.05,71,10,4.83
142,Clyde River,CA,2022-11-23 03:41:01,70.4692,-68.5914,1.63,78,40,13.8
143,Goundam,ML,2022-11-23 03:41:02,16.4145,-3.6708,71.04,15,80,9.37
144,Chernyshevskiy,RU,2022-11-23 03:41:03,63.0128,112.4714,-19.97,99,88,1.05
145,Pokhara,NP,2022-11-23 03:41:03,28.2333,83.9833,68.07,41,0,4.56
146,Muros,ES,2022-11-23 03:41:04,42.7762,-9.0603,60.1,88,100,22.01
147,Miloslavskoye,RU,2022-11-23 03:41:05,53.5815,39.4399,33.96,100,100,6.35
148,Klaksvik,FO,2022-11-23 03:41:05,62.2266,-6.589,40.12,78,97,24.67
149,San Quintin,MX,2022-11-23 03:36:08,30.4833,-115.95,60.4,63,43,6.8
150,Maniitsoq,GL,2022-11-23 03:41:06,65.4167,-52.9,17.6,80,64,11.14
151,East London,ZA,2022-11-23 03:41:06,-33.0153,27.9116,67.14,88,0,9.22
152,Muromtsevo,RU,2022-11-23 03:41:07,56.3724,75.2418,-6.97,93,87,8.41
153,Yellowknife,CA,2022-11-23 03:36:10,62.456,-114.3525,27.12,100,100,6.91
154,Xucheng,CN,2022-11-23 03:41:08,20.35,110.1288,79.79,80,73,11.21
155,Chunskiy,RU,2022-11-23 03:41:08,56.0815,99.6342,24.08,84,100,8.52
156,Bambous Virieux,MU,2022-11-23 03:41:09,-20.3428,57.7575,80.22,83,40,3.44
157,Talcahuano,CL,2022-11-23 03:39:02,-36.7167,-73.1167,56.88,88,0,10.36
158,Sergeyevka,KZ,2022-11-23 03:41:09,53.88,67.4158,-0.2,98,27,2.21
159,Ribeira Grande,PT,2022-11-23 03:41:10,38.5167,-28.7,60.78,83,100,5.01
160,Moose Factory,CA,2022-11-23 03:41:11,51.2585,-80.6094,12.2,85,0,4.61
161,Kapaa,US,2022-11-23 03:41:11,22.0752,-159.319,80.58,80,75,14.97
162,Tuatapere,NZ,2022-11-23 03:41:12,-46.1333,167.6833,60.1,44,92,8.43
163,Olbia,IT,2022-11-23 03:41:12,40.9214,9.4856,57.25,72,75,17.27
164,Saint-Augustin,CA,2022-11-23 03:41:13,51.226,-58.6502,13.62,86,98,9.37
165,Opuwo,NA,2022-11-23 03:41:13,-18.0607,13.84,71.29,47,98,2.06
166,Yaan,NG,2022-11-23 03:41:14,7.3833,8.5667,70.52,37,7,2.62
167,Pisco,PE,2022-11-23 03:41:14,-13.7,-76.2167,66.25,88,0,4.61
168,Olafsvik,IS,2022-11-23 03:41:15,64.8945,-23.7142,38.5,69,39,20.56
169,Shahpur,IN,2022-11-23 03:41:15,16.7,76.8333,76.15,62,100,7.29
170,Tolaga Bay,NZ,2022-11-23 03:41:16,-38.3667,178.3,72.91,37,4,9.26
171,Guerrero Negro,MX,2022-11-23 03:41:16,27.9769,-114.0611,63.68,56,83,10.02
172,Sao Felix Do Xingu,BR,2022-11-23 03:38:31,-6.6447,-51.995,71.58,93,70,0.4
173,Isangel,VU,2022-11-23 03:37:47,-19.55,169.2667,86.11,74,81,9.22
174,Lusambo,CD,2022-11-23 03:41:17,-4.9667,23.45,67.87,99,100,0.89
175,Ust-Maya,RU,2022-11-23 03:41:17,60.4167,134.5333,-14.01,94,100,0.76
176,Strezhevoy,RU,2022-11-23 03:41:18,60.7333,77.5889,-16.37,93,13,8.75
177,Saravan,AM,2022-11-23 03:41:18,39.7196,45.6483,40.24,46,84,2.95
178,Sola,VU,2022-11-23 03:41:19,-13.8833,167.55,86.67,79,75,14.97
179,Longyan,CN,2022-11-23 03:41:20,25.1072,117.0225,70.07,92,100,2.21
180,Ixtapa,MX,2022-11-23 03:38:38,20.7,-105.2,74.23,88,0,0.0
181,Kavieng,PG,2022-11-23 03:41:20,-2.5744,150.7967,86.0,59,37,12.57
182,Portland,US,2022-11-23 03:40:46,45.5234,-122.6762,51.6,93,75,5.01
183,Vila Do Maio,CV,2022-11-23 03:41:21,15.1333,-23.2167,75.99,71,15,19.24
184,Ponta Delgada,PT,2022-11-23 03:41:22,37.7333,-25.6667,65.12,82,75,12.66
185,Yabelo,ET,2022-11-23 03:41:22,4.8833,38.0833,57.61,75,68,6.85
186,Severo-Yeniseyskiy,RU,2022-11-23 03:41:23,60.3725,93.0408,-1.77,95,100,1.9
187,Salinas,US,2022-11-23 03:38:05,36.6777,-121.6555,57.96,64,0,3.44
188,Obo,CF,2022-11-23 03:41:24,5.3998,26.4869,68.94,92,99,2.71
189,Esperance,AU,2022-11-23 03:41:24,-33.8667,121.9,78.91,39,65,7.76
190,Axim,GH,2022-11-23 03:41:25,4.8699,-2.2405,77.11,83,28,5.03
191,Port Elizabeth,ZA,2022-11-23 03:41:25,-33.918,25.5701,64.69,94,0,3.44
192,Dukat,RU,2022-11-23 03:41:26,62.55,155.55,-9.53,99,100,7.72
193,Cururupu,BR,2022-11-23 03:41:26,-1.8283,-44.8683,75.06,92,14,3.11
194,Buala,SB,2022-11-23 03:41:27,-8.145,159.5921,85.23,67,92,6.35
195,Gizeh,EG,2022-11-23 03:40:38,30.0081,31.2109,63.34,79,0,7.0
196,Hobart,AU,2022-11-23 03:37:07,-42.8794,147.3294,65.26,43,0,12.66
197,Vangaindrano,MG,2022-11-23 03:41:28,-23.35,47.6,71.53,89,100,1.92
198,Havre-Saint-Pierre,CA,2022-11-23 03:41:28,50.2334,-63.5986,24.8,68,100,12.66
199,Mucurapo,TT,2022-11-23 03:41:29,10.6667,-61.5333,74.01,88,41,9.66
200,Wukari,NG,2022-11-23 03:41:30,7.85,9.7833,68.85,32,2,4.92
201,Umm Lajj,SA,2022-11-23 03:41:31,25.0213,37.2685,77.9,57,57,9.55
202,Tezu,IN,2022-11-23 03:41:31,27.9167,96.1667,76.19,31,2,3.33
